Response,Mitigation,TRIAL,DATA,Model,P,Rhat,DIC
FISH,NetPanels,NP,NP_FISH_dat,BYCATCH_HURDLE_MODEL_multisite_multiyear.jags,0.00136,1.03774522401471,1465.3036216623
TOT,NetPanels,NP,NP_TOT_dat,BYCATCH_HURDLE_MODEL_multisite_multiyear.jags,0.170033333333333,1.0306870778401,487.375893359855
LTDU,NetPanels,NP,NP_LTDU_dat,BYCATCH_HURDLE_MODEL_multisite_multiyear.jags,0.41033,1.06661628829758,173.768188351938
VESC,NetPanels,NP,NP_VESC_dat,BYCATCH_HURDLE_MODEL_multisite_multiyear.jags,0.225573333333333,1.02714208771487,298.27842867135
FISH,WhiteLights,WL,WL_FISH_dat,BYCATCH_HURDLE_MODEL_singlesite.jags,0,1.28177147577709,653.021646976916
TOT,WhiteLights,WL,WL_TOT_dat,BYCATCH_HURDLE_MODEL_singlesite.jags,0.486936666666667,1.00104785177687,310.025639966095
LTDU,WhiteLights,WL,WL_LTDU_dat,BYCATCH_HURDLE_MODEL_singlesite.jags,0.45654,1.00350915448824,293.557447758636
FISH,GreenLights,GL,GL_FISH_dat,BYCATCH_HURDLE_MODEL_multisite_multiyear.jags,0,1.1213249157152,1917.68933327247
TOT,GreenLights,GL,GL_TOT_dat,BYCATCH_HURDLE_MODEL_multisite_multiyear.jags,0.31317,1.00470119192488,449.174572786676
LTDU,GreenLights,GL,GL_LTDU_dat,BYCATCH_HURDLE_MODEL_multisite_multiyear.jags,0.465183333333333,1.0060884866085,333.085125779338
